OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"484111MB","PROPOSITION 50","YES","3","36.36%"
"484111MB","PROPOSITION 50","NO","1","36.36%"
"484113MB","PROPOSITION 50","YES","7","66.67%"
"484113MB","PROPOSITION 50","NO","7","66.67%"
"484114MB","PROPOSITION 50","YES","0","0.00%"
"484114MB","PROPOSITION 50","NO","0","0.00%"
"484115MB","PROPOSITION 50","NO","12","70.37%"
"484115MB","PROPOSITION 50","YES","7","70.37%"
"484116MB","PROPOSITION 50","YES","0","0.00%"
"484116MB","PROPOSITION 50","NO","0","0.00%"
"484118MB","PROPOSITION 50","YES","0","0.00%"
"484118MB","PROPOSITION 50","NO","0","0.00%"
"484119MB","PROPOSITION 50","YES","0","0.00%"
"484119MB","PROPOSITION 50","NO","0","0.00%"
"484120MB","PROPOSITION 50","YES","0","0.00%"
"484120MB","PROPOSITION 50","NO","0","0.00%"
"484121MB","PROPOSITION 50","YES","0","0.00%"
"484121MB","PROPOSITION 50","NO","0","0.00%"
"484122MB","PROPOSITION 50","YES","0","0.00%"
"484122MB","PROPOSITION 50","NO","0","0.00%"
"484123MB","PROPOSITION 50","YES","0","0.00%"
"484123MB","PROPOSITION 50","NO","0","0.00%"
"484124MB","PROPOSITION 50","YES","0","0.00%"
"484124MB","PROPOSITION 50","NO","0","0.00%"
